state,beer_tax,wine_tax,spirits_tax
Alabama,1.05,,
Alaska,1.07,2.5,12.8
Arizona,0.16,0.84,3
Arkansas,0.24,0.75,2.5
California,0.2,0.2,3.3
Colorado,0.08,0.32,2.28
Connecticut,0.24,0.72,5.4
Delaware,0.26,1.63,4.5
District of Columbia,0.09,0.3,1.5
Florida,0.48,2.25,6.5
Georgia,1.01,0.42,1.89
Hawaii,0.93,1.38,5.98
Idaho,0.15,,
Illinois,0.23,1.39,8.55
Indiana,0.12,0.47,2.68
Iowa,0.19,1.75,
Kansas,0.18,0.3,2.5
Kentucky,0.08,0.5,1.92
Louisiana,0.4,0.76,3.03
Maine,0.35,,
Maryland,0.09,0.4,1.5
Massachusetts,0.11,0.55,4.05
Michigan,0.2,0.51,
Minnesota,0.15,0.3,5.03
Mississippi,0.43,,
Missouri,0.06,0.42,2
Montana,0.14,,
Nebraska,0.31,0.95,3.75
Nevada,0.16,0.7,3.6
New Hampshire,0.3,,
New Jersey,0.12,0.88,5.5
New Mexico,0.41,1.7,6.06
New York,0.14,0.3,6.44
North Carolina,0.62,1,
North Dakota,0.16,0.5,2.5
Ohio,0.18,0.32,
Oklahoma,0.4,0.72,5.56
Oregon,0.08,,
Pennsylvania,0.08,,
Rhode Island,0.11,1.4,5.4
South Carolina,0.77,1.08,2.96
South Dakota,0.27,0.93,3.93
Tennessee,1.29,1.21,4.4
Texas,0.19,0.2,2.4
Utah,,,
Vermont,0.27,0.55,
Virginia,0.28,,
Washington,0.76,0.87,14.25
West Virginia,0.18,,
Wisconsin,0.06,0.25,3.36
Wyoming,0.02,,
United States,0.58,1.07,10.8
